#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,height,weight,base_experience,sprites
258,Smoochum,Ice,Psychic,45,30,15,85,65,65,2,False,4,60,61,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/smoochum.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/smoochum.gif'}"
259,Elekid,Electric,Normal,45,63,37,65,55,95,2,False,6,235,72,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/elekid.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/elekid.gif'}"
260,Magby,Fire,Normal,45,75,37,70,55,83,2,False,7,214,73,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/magby.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/magby.gif'}"
261,Miltank,Normal,Normal,95,80,105,40,70,100,2,False,12,755,172,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/miltank.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/miltank.gif'}"
262,Blissey,Normal,Normal,255,10,10,75,135,55,2,False,15,468,608,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/blissey.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/blissey.gif'}"
263,Raikou,Electric,Normal,90,85,75,115,100,115,2,True,19,1780,261,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/raikou.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/raikou.gif'}"
264,Entei,Fire,Normal,115,115,85,90,75,100,2,True,21,1980,261,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/entei.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/entei.gif'}"
265,Suicune,Water,Normal,100,75,115,90,115,85,2,True,20,1870,261,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/suicune.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/suicune.gif'}"
266,Larvitar,Rock,Ground,50,64,50,45,50,41,2,False,6,720,60,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/larvitar.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/larvitar.gif'}"
267,Pupitar,Rock,Ground,70,84,70,65,70,51,2,False,12,1520,144,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/pupitar.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/pupitar.gif'}"
268,Tyranitar,Rock,Dark,100,134,110,95,100,61,2,False,20,2020,270,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/tyranitar.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/tyranitar.gif'}"
270,Lugia,Psychic,Flying,106,90,130,90,154,110,2,True,52,2160,306,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/lugia.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/lugia.gif'}"
271,Ho-oh,Fire,Flying,106,130,90,110,154,90,2,True,38,1990,306,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ho-oh.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ho-oh.gif'}"
272,Celebi,Psychic,Grass,100,100,100,100,100,100,2,False,6,50,270,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/celebi.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/celebi.gif'}"
273,Treecko,Grass,Normal,40,45,35,65,55,70,3,False,5,50,62,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/treecko.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/treecko.gif'}"
274,Grovyle,Grass,Normal,50,65,45,85,65,95,3,False,9,216,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/grovyle.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/grovyle.gif'}"
275,Sceptile,Grass,Normal,70,85,65,105,85,120,3,False,17,522,239,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/sceptile.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/sceptile.gif'}"
277,Torchic,Fire,Normal,45,60,40,70,50,45,3,False,4,25,62,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/torchic.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/torchic.gif'}"
278,Combusken,Fire,Fighting,60,85,60,85,60,55,3,False,9,195,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/combusken.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/combusken.gif'}"
279,Blaziken,Fire,Fighting,80,120,70,110,70,80,3,False,19,520,239,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/blaziken.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/blaziken.gif'}"
281,Mudkip,Water,Normal,50,70,50,50,50,40,3,False,4,76,62,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/mudkip.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/mudkip.gif'}"
282,Marshtomp,Water,Ground,70,85,70,60,70,50,3,False,7,280,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/marshtomp.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/marshtomp.gif'}"
283,Swampert,Water,Ground,100,110,90,85,90,60,3,False,15,819,241,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/swampert.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/swampert.gif'}"
285,Poochyena,Dark,Normal,35,55,35,30,30,35,3,False,5,136,56,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/poochyena.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/poochyena.gif'}"
286,Mightyena,Dark,Normal,70,90,70,60,60,70,3,False,10,370,147,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/mightyena.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/mightyena.gif'}"
287,Zigzagoon,Normal,Normal,38,30,41,30,41,60,3,False,4,175,56,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/zigzagoon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/zigzagoon.gif'}"
288,Linoone,Normal,Normal,78,70,61,50,61,100,3,False,5,325,147,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/linoone.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/linoone.gif'}"
289,Wurmple,Bug,Normal,45,45,35,20,30,20,3,False,3,36,56,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/wurmple.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/wurmple.gif'}"
290,Silcoon,Bug,Normal,50,35,55,25,25,15,3,False,6,100,72,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/silcoon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/silcoon.gif'}"
291,Beautifly,Bug,Flying,60,70,50,100,50,65,3,False,10,284,178,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/beautifly.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/beautifly.gif'}"
292,Cascoon,Bug,Normal,50,35,55,25,25,15,3,False,7,115,72,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/cascoon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/cascoon.gif'}"
293,Dustox,Bug,Poison,60,50,70,50,90,65,3,False,12,316,173,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/dustox.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/dustox.gif'}"
294,Lotad,Water,Grass,40,30,30,40,50,30,3,False,5,26,44,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/lotad.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/lotad.gif'}"
295,Lombre,Water,Grass,60,50,50,60,70,50,3,False,12,325,119,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/lombre.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/lombre.gif'}"
296,Ludicolo,Water,Grass,80,70,70,90,100,70,3,False,15,550,216,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ludicolo.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ludicolo.gif'}"
297,Seedot,Grass,Normal,40,40,50,30,30,30,3,False,5,40,44,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/seedot.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/seedot.gif'}"
298,Nuzleaf,Grass,Dark,70,70,40,60,40,60,3,False,10,280,119,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/nuzleaf.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/nuzleaf.gif'}"
299,Shiftry,Grass,Dark,90,100,60,90,60,80,3,False,13,596,216,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/shiftry.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/shiftry.gif'}"
300,Taillow,Normal,Flying,40,55,30,30,30,85,3,False,3,23,54,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/taillow.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/taillow.gif'}"
301,Swellow,Normal,Flying,60,85,60,50,50,125,3,False,7,198,159,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/swellow.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/swellow.gif'}"
302,Wingull,Water,Flying,40,30,30,55,30,85,3,False,6,95,54,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/wingull.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/wingull.gif'}"
303,Pelipper,Water,Flying,60,50,100,85,70,65,3,False,12,280,154,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/pelipper.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/pelipper.gif'}"
304,Ralts,Psychic,Fairy,28,25,25,45,35,40,3,False,4,66,40,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ralts.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ralts.gif'}"
305,Kirlia,Psychic,Fairy,38,35,35,65,55,50,3,False,8,202,97,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/kirlia.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/kirlia.gif'}"
306,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,3,False,16,484,233,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/gardevoir.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/gardevoir.gif'}"
308,Surskit,Bug,Water,40,30,32,50,52,65,3,False,5,17,54,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/surskit.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/surskit.gif'}"
309,Masquerain,Bug,Flying,70,60,62,80,82,60,3,False,8,36,159,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/masquerain.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/masquerain.gif'}"
310,Shroomish,Grass,Normal,60,40,60,40,60,35,3,False,4,45,59,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/shroomish.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/shroomish.gif'}"
311,Breloom,Grass,Fighting,60,130,80,60,60,70,3,False,12,392,161,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/breloom.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/breloom.gif'}"
312,Slakoth,Normal,Normal,60,60,60,35,35,30,3,False,8,240,56,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/slakoth.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/slakoth.gif'}"
313,Vigoroth,Normal,Normal,80,80,80,55,55,90,3,False,14,465,154,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/vigoroth.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/vigoroth.gif'}"
314,Slaking,Normal,Normal,150,160,100,95,65,100,3,False,20,1305,252,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/slaking.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/slaking.gif'}"
315,Nincada,Bug,Ground,31,45,90,30,30,40,3,False,5,55,53,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/nincada.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/nincada.gif'}"
316,Ninjask,Bug,Flying,61,90,45,50,50,160,3,False,8,120,160,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ninjask.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ninjask.gif'}"
317,Shedinja,Bug,Ghost,1,90,45,30,30,40,3,False,8,12,83,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/shedinja.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/shedinja.gif'}"
318,Whismur,Normal,Normal,64,51,23,51,23,28,3,False,6,163,48,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/whismur.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/whismur.gif'}"
319,Loudred,Normal,Normal,84,71,43,71,43,48,3,False,10,405,126,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/loudred.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/loudred.gif'}"
320,Exploud,Normal,Normal,104,91,63,91,73,68,3,False,15,840,221,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/exploud.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/exploud.gif'}"
321,Makuhita,Fighting,Normal,72,60,30,20,30,25,3,False,10,864,47,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/makuhita.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/makuhita.gif'}"
322,Hariyama,Fighting,Normal,144,120,60,40,60,50,3,False,23,2538,166,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/hariyama.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/hariyama.gif'}"
323,Azurill,Normal,Fairy,50,20,40,20,40,20,3,False,2,20,38,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/azurill.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/azurill.gif'}"
324,Nosepass,Rock,Normal,30,45,135,45,90,30,3,False,10,970,75,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/nosepass.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/nosepass.gif'}"
325,Skitty,Normal,Normal,50,45,45,35,35,50,3,False,6,110,52,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/skitty.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/skitty.gif'}"
326,Delcatty,Normal,Normal,70,65,65,55,55,70,3,False,11,326,140,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/delcatty.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/delcatty.gif'}"
327,Sableye,Dark,Ghost,50,75,75,65,65,50,3,False,5,110,133,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/sableye.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/sableye.gif'}"
329,Mawile,Steel,Fairy,50,85,85,55,55,50,3,False,6,115,133,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/mawile.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/mawile.gif'}"
331,Aron,Steel,Rock,50,70,100,40,40,30,3,False,4,600,66,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/aron.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/aron.gif'}"
332,Lairon,Steel,Rock,60,90,140,50,50,40,3,False,9,1200,151,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/lairon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/lairon.gif'}"
333,Aggron,Steel,Rock,70,110,180,60,60,50,3,False,21,3600,239,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/aggron.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/aggron.gif'}"
335,Meditite,Fighting,Psychic,30,40,55,40,55,60,3,False,6,112,56,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/meditite.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/meditite.gif'}"
336,Medicham,Fighting,Psychic,60,60,75,60,75,80,3,False,13,315,144,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/medicham.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/medicham.gif'}"
338,Electrike,Electric,Normal,40,45,40,65,40,65,3,False,6,152,59,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/electrike.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/electrike.gif'}"
339,Manectric,Electric,Normal,70,75,60,105,60,105,3,False,15,402,166,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/manectric.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/manectric.gif'}"
341,Plusle,Electric,Normal,60,50,40,85,75,95,3,False,4,42,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/plusle.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/plusle.gif'}"
342,Minun,Electric,Normal,60,40,50,75,85,95,3,False,4,42,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/minun.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/minun.gif'}"
343,Volbeat,Bug,Normal,65,73,55,47,75,85,3,False,7,177,151,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/volbeat.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/volbeat.gif'}"
344,Illumise,Bug,Normal,65,47,55,73,75,85,3,False,6,177,151,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/illumise.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/illumise.gif'}"
345,Roselia,Grass,Poison,50,60,45,100,80,65,3,False,3,20,140,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/roselia.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/roselia.gif'}"
346,Gulpin,Poison,Normal,70,43,53,43,53,40,3,False,4,103,60,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/gulpin.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/gulpin.gif'}"
347,Swalot,Poison,Normal,100,73,83,73,83,55,3,False,17,800,163,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/swalot.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/swalot.gif'}"
348,Carvanha,Water,Dark,45,90,20,65,20,65,3,False,8,208,61,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/carvanha.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/carvanha.gif'}"
349,Sharpedo,Water,Dark,70,120,40,95,40,95,3,False,18,888,161,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/sharpedo.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/sharpedo.gif'}"
351,Wailmer,Water,Normal,130,70,35,70,35,60,3,False,20,1300,80,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/wailmer.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/wailmer.gif'}"
352,Wailord,Water,Normal,170,90,45,90,45,60,3,False,145,3980,175,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/wailord.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/wailord.gif'}"
353,Numel,Fire,Ground,60,60,40,65,45,35,3,False,7,240,61,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/numel.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/numel.gif'}"
354,Camerupt,Fire,Ground,70,100,70,105,75,40,3,False,19,2200,161,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/camerupt.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/camerupt.gif'}"
356,Torkoal,Fire,Normal,70,85,140,85,70,20,3,False,5,804,165,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/torkoal.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/torkoal.gif'}"
357,Spoink,Psychic,Normal,60,25,35,70,80,60,3,False,7,306,66,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/spoink.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/spoink.gif'}"
358,Grumpig,Psychic,Normal,80,45,65,90,110,80,3,False,9,715,165,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/grumpig.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/grumpig.gif'}"
359,Spinda,Normal,Normal,60,60,60,60,60,60,3,False,11,50,126,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/spinda.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/spinda.gif'}"
360,Trapinch,Ground,Normal,45,100,45,45,45,10,3,False,7,150,58,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/trapinch.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/trapinch.gif'}"
361,Vibrava,Ground,Dragon,50,70,50,50,50,70,3,False,11,153,119,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/vibrava.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/vibrava.gif'}"
362,Flygon,Ground,Dragon,80,100,80,80,80,100,3,False,20,820,234,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/flygon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/flygon.gif'}"
363,Cacnea,Grass,Normal,50,85,40,85,40,35,3,False,4,513,67,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/cacnea.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/cacnea.gif'}"
364,Cacturne,Grass,Dark,70,115,60,115,60,55,3,False,13,774,166,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/cacturne.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/cacturne.gif'}"
365,Swablu,Normal,Flying,45,40,60,40,75,50,3,False,4,12,62,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/swablu.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/swablu.gif'}"
366,Altaria,Dragon,Flying,75,70,90,70,105,80,3,False,11,206,172,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/altaria.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/altaria.gif'}"
368,Zangoose,Normal,Normal,73,115,60,60,60,90,3,False,13,403,160,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/zangoose.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/zangoose.gif'}"
369,Seviper,Poison,Normal,73,100,60,100,60,65,3,False,27,525,160,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/seviper.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/seviper.gif'}"
370,Lunatone,Rock,Psychic,70,55,65,95,85,70,3,False,10,1680,161,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/lunatone.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/lunatone.gif'}"
371,Solrock,Rock,Psychic,70,95,85,55,65,70,3,False,12,1540,161,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/solrock.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/solrock.gif'}"
372,Barboach,Water,Ground,50,48,43,46,41,60,3,False,4,19,58,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/barboach.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/barboach.gif'}"
373,Whiscash,Water,Ground,110,78,73,76,71,60,3,False,9,236,164,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/whiscash.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/whiscash.gif'}"
374,Corphish,Water,Normal,43,80,65,50,35,35,3,False,6,115,62,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/corphish.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/corphish.gif'}"
375,Crawdaunt,Water,Dark,63,120,85,90,55,55,3,False,11,328,164,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/crawdaunt.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/crawdaunt.gif'}"
376,Baltoy,Ground,Psychic,40,40,55,40,70,55,3,False,5,215,60,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/baltoy.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/baltoy.gif'}"
377,Claydol,Ground,Psychic,60,70,105,70,120,75,3,False,15,1080,175,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/claydol.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/claydol.gif'}"
378,Lileep,Rock,Grass,66,41,77,61,87,23,3,False,10,238,71,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/lileep.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/lileep.gif'}"
379,Cradily,Rock,Grass,86,81,97,81,107,43,3,False,15,604,173,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/cradily.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/cradily.gif'}"
380,Anorith,Rock,Bug,45,95,50,40,50,75,3,False,7,125,71,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/anorith.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/anorith.gif'}"
381,Armaldo,Rock,Bug,75,125,100,70,80,45,3,False,15,682,173,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/armaldo.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/armaldo.gif'}"
382,Feebas,Water,Normal,20,15,20,10,55,80,3,False,6,74,40,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/feebas.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/feebas.gif'}"
383,Milotic,Water,Normal,95,60,79,100,125,81,3,False,62,1620,189,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/milotic.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/milotic.gif'}"
384,Castform,Normal,Normal,70,70,70,70,70,70,3,False,3,8,147,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/castform.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/castform.gif'}"
385,Kecleon,Normal,Normal,60,90,70,60,120,40,3,False,10,220,154,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/kecleon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/kecleon.gif'}"
386,Shuppet,Ghost,Normal,44,75,35,63,33,45,3,False,6,23,59,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/shuppet.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/shuppet.gif'}"
387,Banette,Ghost,Normal,64,115,65,83,63,65,3,False,11,125,159,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/banette.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/banette.gif'}"
